Book Title,Author,Category,Price (TK),Stock Status,Copies Left,Book Length (Pages),Edition,Publication,Wished Users,Discount Offer,Ratings ,Reviews,Copies sold
Mein Kampf,Adolf Hitler,International Political Personality,798,In Stock,17,560,Published,Fingerprint Publishing (India),0,Yes,17.0,5.0,0
The Post American World And The Rise Of The Rest,Fareed Zakaria,International Politics,2343,In Stock,1,292,1st Edition,Penguin Books (India),0,Yes,10.0,2.0,0
The Old Man and The Sea,Ernest Hemingway,Novel,150,Out stock,0,104,2nd Edition,Friend's Book Corner,453,Yes,73.0,54.0,519
Metamorphosis,"Franz Kafka, David Wyllie (Translator)",Novel,258,In Stock,20,100,Published,Fingerprint Publishing (India),0,Yes,29.0,8.0,0
Animal Farm,George Orwell,Novel,258,In Stock,33,95,1st Edition,Fingerprint Publishing (India),384,Yes,44.0,17.0,341
The Girl in Room 105,Chetan Bhagat,Novel,450,In Stock,5,308,Published,Harpercollins Publishers (India),252,Yes,36.0,17.0,222
The Alchemist,Paulo Coelho,Novel,798,In Stock,44,172,1st Edition,Harpercollins Publishers (India),1470,Yes,0.0,0.0,1727
The Startup Wife,Tahmima Anam,Novel,1078,In Stock,1,304,Published,Penguin Books (India),0,Yes,4.0,0.0,0
My Devotion,"Julia Kerninon, Alison Anderson",Novel,1530,In Stock,1,272,27th August 2020,Europa Editions,0,Yes,0.0,0.0,0
How to Win Friends and Influence People,Dale Carnegie,Self-help and meditation,350,In Stock,27,240,1st Edition,Maanu Graphics Publishers (India),967,Yes,85.0,29.0,807
The Power Of Positive Thinking,Dr. Norman Vincent Peale,Self-help and meditation,398,In Stock,4,320,Edition,Vermilion London (India),528,Yes,26.0,9.0,441
Who Moved My Cheese?,Spencer Johnson,Self-help and meditation,405,In Stock,40,96,Published,Vermilion London (India),860,Yes,55.0,25.0,826
Think and Grow Rich,Napoleon Hill,Self-help and meditation,450,In Stock,50,332,1st Published,Amazing Reads (India),648,Yes,50.0,26.0,552
The Power of Your Subconscious Mind,Dr. Joseph Murphy,Self-help and meditation,500,Out stock,0,312,Edition,Amazing Reads (India),692,No,35.0,17.0,636
How To Talk To Anyone,Leil Lowndes,Self-help and meditation,798,In Stock,37,352,1st,Harper Element (India),388,Yes,5.0,3.0,421
How To Instantly Connect With Anyone,Leil Lowndes,Self-help and meditation,855,Out stock,0,336,1st Edition,McGraw-Hill (India),0,No,0.0,0.0,0
Winning,"Jack Welch, Suzy Welch",Self-help and meditation,900,In Stock,3,372,16th Impression,Harpercollins Publishers (India),0,Yes,27.0,13.0,0
The Art of War,Sun Tzu,War Tactics and Foreign Policy,178,In Stock,11,100,1st Edition,Fingerprint Publishing (India),425,Yes,1.0,0.0,500
Harry Potter and the Philosophers Stone (1997),J. K. Rowling," Mystery, Detective, Thriller and Adventure",1100,In Stock,5,352,New Edition,Bloomsbury Publishing (India),266,Yes,40.0,22.0,251
